-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2020 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2010,10.0,76.25,67.18,62.27,65.2,80.05,82.68,86.64,87.88,91.13,88.04,86.87,85.62,78.52,80.27
RH2M,2010,10.0,76.875,75.83,61.77,61.3,75.01,84.47,90.55,91.64,92.77,90.62,91.78,91.01,87.62,82.99
RH2M,2010,10.0,77.5,74.26,58.49,48.54,58.35,70.31,75.7,75.56,76.88,77.34,84.84,88.91,88.47,73.24
RH2M,2010,10.0,78.125,76.5,62.74,50.81,52.84,63.79,64.88,63.36,64.56,68.28,76.64,87.49,87.86,68.36
RH2M,2010,10.0,78.75,79.29,68.26,58.59,59.73,64.63,64.5,61.65,63.7,69.12,78.9,87.67,88.69,70.41
RH2M,2010,10.0,79.375,81.96,75.07,68.69,71.15,72.22,70.88,67.43,71.32,75.33,81.06,84.69,86.66,75.54
RH2M,2010,10.0,80.0,78.43,76.31,73.22,75.95,78.0,77.16,73.79,77.3,78.84,81.23,82.92,83.62,78.07
RH2M,2010,10.5,76.25,66.59,58.47,60.17,77.93,82.62,88.08,89.72,92.02,89.24,89.02,87.68,81.36,80.36
RH2M,2010,10.5,76.875,71.07,54.77,53.07,70.67,81.21,88.09,89.89,91.03,88.99,90.71,90.11,87.34,79.9
RH2M,2010,10.5,77.5,71.65,55.29,44.41,53.15,67.98,73.21,73.99,75.39,74.28,80.04,86.89,87.05,70.38
RH2M,2010,10.5,78.125,75.64,62.3,48.68,50.18,63.59,66.18,65.4,67.71,69.91,75.77,87.31,87.28,68.38
RH2M,2010,10.5,78.75,79.2,67.56,56.37,56.07,63.51,64.87,62.56,65.25,70.03,76.99,88.06,88.48,69.93
RH2M,2010,10.5,79.375,84.99,75.04,65.48,65.65,66.76,66.9,63.87,68.5,74.29,80.13,87.2,89.14,73.99
RH2M,2010,10.5,80.0,80.01,76.49,72.87,75.5,75.32,74.72,71.53,75.41,77.67,80.27,83.95,84.55,77.36
RH2M,2010,11.0,76.25,68.23,58.75,57.9,75.37,82.52,89.02,91.15,92.5,89.9,90.6,88.98,83.25,80.8
RH2M,2010,11.0,76.875,69.41,52.12,47.05,66.14,76.62,83.93,86.19,87.13,85.39,88.68,89.5,86.97,76.74
RH2M,2010,11.0,77.5,67.14,50.99,40.49,49.88,65.57,70.0,71.06,72.61,71.52,76.68,86.1,85.26,67.39
RH2M,2010,11.0,78.125,72.65,58.93,46.55,48.15,64.4,68.37,68.22,71.16,72.37,76.7,87.29,86.83,68.54
RH2M,2010,11.0,78.75,78.18,66.7,55.06,54.11,64.6,67.2,66.27,69.6,72.66,77.28,88.55,88.23,70.74
RH2M,2010,11.0,79.375,85.35,75.85,64.17,62.45,64.99,65.96,64.5,69.04,75.18,79.24,88.29,89.47,73.7
RH2M,2010,11.0,80.0,80.67,76.96,72.45,74.72,73.0,72.73,70.64,74.41,77.25,79.69,84.48,84.53,76.79
RH2M,2010,11.5,76.25,70.94,59.7,54.62,72.14,82.43,89.46,92.02,92.79,90.14,91.72,90.0,85.2,81.06
RH2M,2010,11.5,76.875,67.52,51.75,43.93,63.15,74.4,81.8,84.03,84.89,83.22,87.29,89.37,85.69,74.89
RH2M,2010,11.5,77.5,65.65,49.8,39.12,50.47,65.13,70.03,70.88,73.68,73.65,78.67,87.45,84.76,67.55
RH2M,2010,11.5,78.125,71.11,56.27,45.0,47.0,64.42,70.07,70.65,74.48,75.99,79.52,88.04,86.79,69.2
RH2M,2010,11.5,78.75,77.06,66.12,54.42,53.67,65.4,69.36,69.51,73.98,76.64,80.15,89.56,88.37,72.07
RH2M,2010,11.5,79.375,83.34,75.58,63.85,61.41,65.38,66.87,66.6,71.07,76.49,79.35,88.41,88.4,73.89
RH2M,2010,11.5,80.0,79.93,78.04,73.83,75.51,73.14,73.01,72.02,75.2,77.75,79.89,84.45,83.58,77.18
RH2M,2010,12.0,76.25,71.2,56.23,48.02,67.72,80.68,87.82,91.15,92.38,89.5,91.21,89.84,85.61,79.42
RH2M,2010,12.0,76.875,61.97,46.43,38.53,60.19,74.4,81.2,83.27,84.77,83.33,86.52,88.28,83.32,72.84
RH2M,2010,12.0,77.5,66.08,50.02,39.02,54.02,68.39,74.98,75.91,79.53,80.02,84.18,88.64,84.8,70.59
RH2M,2010,12.0,78.125,71.4,55.7,44.47,47.88,64.58,72.87,74.66,78.6,80.38,83.73,88.94,86.93,70.95
RH2M,2010,12.0,78.75,75.7,64.57,53.17,54.23,63.96,70.35,71.68,76.54,79.54,83.07,90.09,88.05,72.63
RH2M,2010,12.0,79.375,81.53,73.94,63.22,60.39,63.99,67.56,68.32,72.96,77.63,80.43,88.86,87.84,73.89
RH2M,2010,12.0,80.0,79.52,78.29,73.8,74.41,72.53,73.09,72.94,75.71,78.29,80.27,84.84,83.15,77.22
RH2M,2010,9.0,76.25,69.99,69.09,72.81,79.67,80.66,83.59,84.69,89.75,86.38,82.58,81.89,75.64,79.78
RH2M,2010,9.0,76.875,76.05,63.03,62.41,76.37,83.99,88.36,89.25,90.97,88.93,89.57,88.98,86.17,82.12
RH2M,2010,9.0,77.5,78.38,63.31,54.44,69.19,78.72,81.54,81.11,81.58,79.61,88.17,88.73,89.07,77.92
RH2M,2010,9.0,78.125,77.29,65.72,60.19,63.87,70.5,69.02,68.53,68.9,68.7,78.8,84.89,87.53,72.05
RH2M,2010,9.0,78.75,78.3,73.81,70.64,74.51,75.04,74.27,73.27,75.69,76.37,80.16,82.6,84.5,76.62
RH2M,2010,9.0,79.375,78.35,76.02,72.61,77.45,79.47,78.71,77.16,81.28,81.48,81.83,81.7,82.56,79.07
RH2M,2010,9.0,80.0,81.52,78.15,69.9,73.68,78.32,75.93,72.68,77.99,79.71,83.01,84.11,86.56,78.47
RH2M,2010,9.5,76.25,68.23,65.09,68.3,78.88,80.39,83.85,84.86,89.48,85.97,83.38,81.97,74.92,78.85
RH2M,2010,9.5,76.875,76.54,61.09,60.54,75.53,84.1,89.37,90.23,91.68,89.7,90.54,90.01,86.95,82.32
RH2M,2010,9.5,77.5,74.37,58.63,50.87,65.2,75.86,79.64,79.06,79.44,79.71,88.17,89.97,89.02,75.94
RH2M,2010,9.5,78.125,75.51,61.54,53.72,57.13,67.22,67.21,65.79,65.56,68.2,78.82,86.74,88.05,69.69
RH2M,2010,9.5,78.75,77.9,68.96,62.4,65.49,68.01,67.55,65.91,67.35,70.33,80.01,85.69,87.23,72.26
RH2M,2010,9.5,79.375,78.96,75.71,71.97,75.72,76.87,75.64,73.45,76.65,78.14,80.95,82.29,83.76,77.52
RH2M,2010,9.5,80.0,78.72,76.13,70.96,73.65,77.67,76.73,73.61,77.46,79.18,81.73,82.77,84.11,77.74
RH2M,2011,10.0,76.25,70.06,68.11,69.58,77.27,80.0,86.83,88.48,89.17,87.43,81.87,77.58,71.05,79.01
RH2M,2011,10.0,76.875,81.83,75.89,66.21,76.11,81.74,90.4,90.71,91.22,90.95,88.67,86.27,83.01,83.62
RH2M,2011,10.0,77.5,83.57,72.65,59.53,62.88,68.62,74.19,71.52,73.79,73.98,81.3,85.52,80.93,74.05
RH2M,2011,10.0,78.125,84.76,73.61,59.53,58.61,59.33,59.04,57.33,60.91,63.34,79.77,85.23,80.98,68.52
RH2M,2011,10.0,78.75,86.03,76.12,63.73,63.27,62.15,57.87,55.85,59.95,63.13,79.48,85.63,83.3,69.68
RH2M,2011,10.0,79.375,84.68,78.32,70.01,71.07,72.01,66.6,63.46,67.78,70.06,78.24,83.11,83.08,74.01
RH2M,2011,10.0,80.0,81.0,77.86,74.89,76.07,79.1,75.1,71.01,75.82,76.69,78.49,79.53,79.17,77.06
RH2M,2011,10.5,76.25,71.46,66.62,64.41,74.77,79.57,88.58,89.98,90.65,89.38,84.8,81.17,73.29,79.62
RH2M,2011,10.5,76.875,79.61,70.48,60.13,71.34,79.21,89.09,88.71,89.0,89.53,86.78,85.72,80.24,80.87
RH2M,2011,10.5,77.5,80.63,68.74,54.83,58.75,66.92,73.25,71.23,72.47,72.4,79.15,84.19,79.21,71.84
RH2M,2011,10.5,78.125,84.57,73.28,58.43,56.99,59.66,61.68,61.4,63.7,66.63,81.0,85.66,81.68,69.55
RH2M,2011,10.5,78.75,85.53,75.27,61.82,60.88,60.3,57.34,57.88,60.99,65.37,81.14,86.36,83.25,69.66
RH2M,2011,10.5,79.375,86.52,79.19,67.43,66.93,64.93,59.6,59.07,62.67,66.87,79.49,85.98,85.15,71.95
RH2M,2011,10.5,80.0,81.2,77.6,74.08,75.04,75.53,70.65,67.8,72.05,74.3,78.37,80.72,79.68,75.57
RH2M,2011,11.0,76.25,72.86,65.57,60.96,72.9,79.36,89.62,90.98,91.66,90.35,86.99,83.0,74.87,80.0
RH2M,2011,11.0,76.875,77.52,66.83,55.14,66.0,75.52,84.75,84.22,84.81,84.82,84.4,84.96,77.85,77.29
RH2M,2011,11.0,77.5,76.88,64.1,48.34,55.03,64.72,69.29,67.55,68.47,68.56,77.5,82.74,75.6,68.26
RH2M,2011,11.0,78.125,82.85,70.44,54.31,55.64,61.32,62.58,64.52,66.31,69.27,81.38,85.33,80.17,69.52
RH2M,2011,11.0,78.75,84.59,73.76,59.89,60.17,61.01,58.24,61.9,64.31,68.29,81.84,86.62,82.37,70.24
RH2M,2011,11.0,79.375,86.39,79.17,67.2,65.21,61.62,55.49,59.62,62.49,67.42,80.21,86.91,84.92,71.35
RH2M,2011,11.0,80.0,81.0,77.82,74.17,74.41,72.89,66.8,66.68,69.97,72.93,78.1,81.3,79.7,74.63
RH2M,2011,11.5,76.25,74.41,65.12,57.01,69.96,78.56,90.05,91.38,92.21,90.97,88.64,84.32,76.04,79.97
RH2M,2011,11.5,76.875,73.34,63.07,49.43,61.68,72.89,80.67,81.28,82.46,81.06,83.2,83.16,74.23,73.93
RH2M,2011,11.5,77.5,75.48,63.06,45.25,54.75,64.37,66.3,65.75,67.69,67.39,78.58,82.81,73.57,67.11
RH2M,2011,11.5,78.125,82.12,69.36,51.82,55.37,62.8,60.01,65.14,68.16,70.39,81.36,85.16,78.56,69.2
RH2M,2011,11.5,78.75,83.97,73.12,59.14,60.67,62.22,57.23,63.8,67.26,69.98,82.21,86.73,81.17,70.63
