-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2020 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2010,10.0,76.25,0.6,0.04,1.37,5.32,7.37,19.86,15.84,8.12,11.33,17.15,9.39,2.04,8.23
PRECTOTCORR,2010,10.0,76.875,0.5,0.03,1.1,3.8,5.47,13.04,10.57,5.97,8.38,13.53,9.61,2.24,6.21
PRECTOTCORR,2010,10.0,77.5,0.36,0.01,0.42,1.41,2.77,4.03,3.19,2.28,4.08,6.48,10.11,2.43,3.14
PRECTOTCORR,2010,10.0,78.125,0.27,0.0,0.14,0.77,2.39,2.32,1.62,1.78,4.24,4.89,12.54,3.26,2.85
PRECTOTCORR,2010,10.0,78.75,0.34,0.0,0.08,0.75,2.15,1.87,1.43,2.39,4.72,5.11,13.62,4.15,3.05
PRECTOTCORR,2010,10.0,79.375,0.74,0.05,0.1,1.34,2.2,1.82,1.19,3.71,5.24,5.22,14.95,7.31,3.66
PRECTOTCORR,2010,10.0,80.0,1.26,0.17,0.39,2.5,2.89,2.39,1.69,4.39,4.96,5.07,14.78,10.58,4.27
PRECTOTCORR,2010,10.5,76.25,0.38,0.02,0.73,4.62,5.93,19.19,14.19,7.3,9.08,13.91,9.5,1.34,7.2
PRECTOTCORR,2010,10.5,76.875,0.29,0.01,0.56,2.9,4.01,10.55,7.89,4.94,5.92,10.28,9.38,1.5,4.87
PRECTOTCORR,2010,10.5,77.5,0.18,0.0,0.2,1.12,2.45,3.06,2.27,2.38,3.0,5.21,9.16,2.04,2.59
PRECTOTCORR,2010,10.5,78.125,0.23,0.0,0.06,0.85,2.59,2.36,1.47,2.2,3.67,4.48,11.15,3.32,2.7
