-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2020 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,10.0,76.25,27.53,29.22,30.19,28.95,28.66,27.12,26.0,25.71,26.04,26.24,25.95,25.66,27.26
T2M,2010,10.0,76.875,21.75,24.54,26.38,25.92,24.75,22.69,21.62,21.87,22.03,22.2,21.68,20.63,22.99
T2M,2010,10.0,77.5,21.82,24.05,27.23,28.0,26.76,24.45,23.41,23.72,23.58,23.07,21.81,20.36,24.02
T2M,2010,10.0,78.125,24.13,26.39,30.16,31.89,30.51,28.89,27.99,28.38,27.78,26.9,24.64,23.06,27.56
T2M,2010,10.0,78.75,24.73,26.64,30.13,31.82,31.31,29.92,29.38,29.49,28.61,27.43,25.54,23.99,28.25
T2M,2010,10.0,79.375,25.3,26.37,29.19,30.8,31.02,29.99,29.66,29.34,28.56,27.95,26.75,25.35,28.37
T2M,2010,10.0,80.0,26.1,26.49,28.72,30.3,30.42,29.48,29.21,28.9,28.33,28.2,27.24,26.21,28.31
T2M,2010,10.5,76.25,26.98,29.21,30.58,29.04,28.37,26.65,25.45,25.32,25.63,25.71,25.41,24.59,26.9
T2M,2010,10.5,76.875,23.17,26.14,28.31,27.57,26.12,23.98,22.76,23.02,23.18,23.22,22.62,21.23,24.26
T2M,2010,10.5,77.5,23.15,25.51,28.86,29.91,28.15,25.92,24.77,25.04,25.07,24.69,23.05,21.39,25.45
T2M,2010,10.5,78.125,24.06,26.19,30.29,32.25,30.43,28.6,27.59,27.79,27.35,26.89,24.55,22.88,27.41
T2M,2010,10.5,78.75,24.35,26.36,30.23,32.37,31.32,29.68,28.98,29.08,28.26,27.54,25.25,23.62,28.09
T2M,2010,10.5,79.375,24.34,25.89,29.32,31.37,31.48,30.09,29.59,29.32,28.36,27.79,26.06,24.46,28.18
T2M,2010,10.5,80.0,25.73,26.26,28.65,30.31,30.72,29.69,29.32,29.04,28.44,28.35,27.04,25.9,28.3
T2M,2010,11.0,76.25,24.93,27.04,28.97,27.9,26.92,24.99,23.67,23.81,24.03,24.15,23.75,22.72,25.23
T2M,2010,11.0,76.875,23.3,26.08,28.77,28.3,26.82,24.59,23.22,23.59,23.63,23.49,22.59,21.09,24.61
T2M,2010,11.0,77.5,24.94,27.43,30.8,31.92,29.86,27.78,26.54,26.88,26.85,26.43,24.37,22.69,27.2
T2M,2010,11.0,78.125,24.48,26.76,30.7,32.74,30.44,28.46,27.41,27.56,27.17,26.85,24.63,22.86,27.5
T2M,2010,11.0,78.75,23.96,25.98,29.94,32.33,30.8,28.97,28.11,28.17,27.51,27.12,24.78,23.06,27.56
T2M,2010,11.0,79.375,23.91,25.44,29.3,31.76,31.57,29.97,29.22,29.07,28.0,27.69,25.69,23.98,27.98
T2M,2010,11.0,80.0,25.46,26.0,28.58,30.38,30.95,29.81,29.28,29.08,28.42,28.38,26.9,25.68,28.25
T2M,2010,11.5,76.25,22.62,24.83,27.38,26.76,25.39,23.26,21.88,22.25,22.41,22.52,22.03,20.89,23.51
