-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2020 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M,2010,10.0,76.25,1.59,1.85,2.41,2.11,2.96,3.51,3.19,3.36,2.33,2.91,1.83,1.49,2.47
WS2M,2010,10.0,76.875,0.3,0.33,0.4,0.33,0.49,0.59,0.56,0.57,0.39,0.46,0.3,0.27,0.42
WS2M,2010,10.0,77.5,1.27,1.22,1.34,1.09,1.62,2.49,2.84,2.38,1.64,1.22,0.94,1.04,1.59
WS2M,2010,10.0,78.125,2.24,2.08,2.18,2.09,2.04,2.56,2.71,2.25,1.76,1.38,1.41,1.79,2.04
WS2M,2010,10.0,78.75,3.01,2.75,2.71,2.81,2.9,3.27,3.18,2.51,2.0,1.96,1.9,2.57,2.63
WS2M,2010,10.0,79.375,4.25,3.65,3.41,3.63,4.72,5.0,4.31,3.79,3.28,3.51,3.01,4.01,3.88
WS2M,2010,10.0,80.0,5.15,4.31,3.78,3.91,5.83,6.4,5.42,5.16,4.42,4.79,3.73,5.29,4.86
WS2M,2010,10.5,76.25,1.64,1.69,1.9,1.75,2.4,2.92,2.63,2.73,1.81,2.23,1.48,1.52,2.06
WS2M,2010,10.5,76.875,1.28,1.17,1.24,1.14,1.78,2.27,2.23,2.09,1.45,1.4,0.93,1.04,1.5
WS2M,2010,10.5,77.5,1.91,1.78,1.95,1.73,2.82,4.0,4.37,3.96,2.84,2.26,1.37,1.47,2.55
WS2M,2010,10.5,78.125,2.09,1.98,2.19,2.09,2.27,3.16,3.61,3.22,2.36,1.8,1.39,1.73,2.33
WS2M,2010,10.5,78.75,2.56,2.35,2.43,2.54,2.48,3.09,3.49,2.94,2.11,1.73,1.68,2.24,2.47
WS2M,2010,10.5,79.375,3.07,2.67,2.68,2.98,3.51,3.88,3.8,3.15,2.42,2.42,2.28,3.04,3.0
WS2M,2010,10.5,80.0,4.57,3.8,3.5,3.73,5.08,5.52,4.89,4.5,3.78,4.03,3.46,4.83,4.31
WS2M,2010,11.0,76.25,1.12,1.09,1.2,1.11,1.47,1.78,1.63,1.68,1.1,1.36,0.93,0.96,1.29
WS2M,2010,11.0,76.875,1.79,1.64,1.72,1.46,2.29,3.13,3.22,2.9,2.06,1.8,1.25,1.39,2.06
WS2M,2010,11.0,77.5,1.97,1.85,1.92,1.9,2.95,3.98,4.21,3.85,2.87,2.34,1.36,1.54,2.57
WS2M,2010,11.0,78.125,2.1,2.03,2.17,2.09,2.51,3.47,3.82,3.36,2.51,2.0,1.38,1.73,2.43
